Year,Week,Date,Percent of Deaths Due to Pneumonia and Influenza (P&I),"Percent of Deaths Due to Pneumonia, Influenza or COVID-19 (PIC)",Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths,COVID-19 Deaths,"Pneumonia, Influenza or COVID-19 Deaths (PIC)"
2018,33,8/13/2018,5.210631995,5.210631995,5.24539,5.56262,50301,2616,5,0,2621
2018,34,8/20/2018,5.396460493,5.396460493,5.24042,5.55741,50459,2713,10,0,2723
2018,35,8/27/2018,5.208353915,5.208353915,5.24887,5.56563,50611,2630,6,0,2636
2018,36,9/3/2018,5.477246069,5.477246069,5.27054,5.58707,50299,2749,6,0,2755
2018,37,9/10/2018,5.42059002,5.42059002,5.30505,5.62136,51083,2761,8,0,2769
2018,38,9/17/2018,5.486303627,5.486303627,5.35184,5.66792,51583,2819,11,0,2830
2018,39,9/24/2018,5.54955945,5.54955945,5.41015,5.72601,50959,2814,14,0,2828
2018,40,10/1/2018,5.689783601,5.689783601,5.47907,5.79471,52357,2969,10,0,2979
2018,41,10/8/2018,5.548805184,5.548805184,5.55755,5.87297,51849,2865,12,0,2877
2018,42,10/15/2018,5.675833821,5.675833821,5.64438,5.95959,52979,2989,18,0,3007
2018,43,10/22/2018,5.745587114,5.745587114,5.73826,6.05325,53763,3065,24,0,3089
2018,44,10/29/2018,5.645251501,5.645251501,5.83776,6.15254,53638,3003,25,0,3028
2018,45,11/5/2018,5.698175912,5.698175912,5.94139,6.25597,53561,3022,30,0,3052
2018,46,11/12/2018,5.79363048,5.79363048,6.0476,6.36198,54698,3143,26,0,3169
2018,47,11/19/2018,5.850821376,5.850821376,6.15481,6.46899,54847,3178,31,0,3209
2018,48,11/26/2018,6.038866691,6.038866691,6.26143,6.5754,55060,3287,38,0,3325
2018,49,12/3/2018,6.173280683,6.173280683,6.36585,6.67963,55967,3399,56,0,3455
2018,50,12/10/2018,6.389770692,6.389770692,6.46654,6.78013,56387,3552,51,0,3603
