OBJECTID,STATUS,COUNTY,NAME,BEGINNING_RANGE,ENDING_RANGE,STATE_PLANE_ZONE,COMMENTS,SHAPELEN
47,Critical,Santa Rosa,Navarre Beach,R192.5,R213.5,North,,6495.18222988654
48,Critical,Okaloosa,Ft. Walton Beach,R001,R015,North,,4615.22703507804
49,Critical Inlet,Okaloosa,Norriego Point,V622,R017,North,,1588.01097923249
50,Critical,Okaloosa,Destin (West),R017,R025.5,North,,2894.79096206871
51,Critical,Okaloosa,Destin,R039,R050,North,,3551.13016268979
52,Critical,Walton,Miramar Beach,R001,R023.5,North,,7690.44480303954
53,Critical,Walton,Dune Allen,R041,R064,North,,7259.69372727468
54,Critical,Walton,Alligator Like,R067,R072,North,,1540.69757132959
55,Critical,Walton,Seagrove Beach,R078,R098,North,,6200.97903644334
56,Critical,Walton,Inlet Beach,R105.5,R127.4,North,,6815.56831034268
57,Critical,Bay,St Andrews State Recreation Area,R001,R097,North,,29401.2002436345
58,Noncritical,Bay,Shell Island,R098,V309,North,,9859.05754925948
59,Critical Inlet,Bay,St Andrew Inlet,R097,R098,North,,430.469168545494
60,Noncritical,Bay,Crooked Island,V316,V330,North,,5530.13415566508
61,Noncritical,Bay,Crooked Island,V336,V341,North,,1542.86317781212
62,Critical,Bay,Mexico Beach,R132,R137.8,North,,1856.04729592091
63,Noncritical,Gulf,St Joseph Peninsula,R041,R069,North,,8903.53713364618
64,Critical,Gulf,St. Joseph Peninsula State Park,R069,R106,North,,11765.4266176146
65,Critical,Gulf,Stump Hole and Lighthouse,R106,R111.5,North,,1771.77965935991
66,Noncritical,Gulf,Cape San Blas,R111.5,R114,North,,598.800137635589
67,Noncritical,Gulf,Indian Peninsula,R150,R162,North,,4145.19911991539
